OTUID,DS1_R_1,DS1_R_2,DS1_R_3,DS1_R_4,DS1_R_5,DS1_R_6,DS2_R_1,DS2_R_2,DS2_R_3,DS2_R_4,DS2_R_5,DS2_R_6,DS3_R_1,DS3_R_2,DS3_R_3,DS3_R_4,DS3_R_5,DS3_R_6
OTU_143,14,1,0,0,0,2,23,17,12,10,17,31,14,1,2,0,6,0
OTU_125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
OTU_211,223,206,157,153,437,171,380,494,476,604,596,507,36,143,74,83,9,42
OTU_146,114,147,107,114,151,176,476,501,431,429,384,425,245,264,197,184,196,204
OTU_78,534,375,392,428,529,206,228,288,294,374,292,357,57,62,82,73,75,64
OTU_352,0,3,0,0,0,0,11,27,11,4,5,23,6,7,0,1,1,1
OTU_74,23,22,171,23,60,25,1167,525,506,633,656,478,10,149,103,45,4,73
OTU_123,0,0,0,0,0,0,16,0,0,9,10,0,0,0,0,0,0,0
OTU_150,315,257,228,194,380,159,419,375,348,430,587,420,44,202,92,74,6,83
OTU_155,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OTU_111,406,293,245,370,271,391,131,58,160,33,66,170,61,183,156,235,714,500
OTU_115,78,175,400,43,19,114,420,250,309,176,190,297,152,37,274,88,115,147
OTU_127,14,20,3,0,7,38,15,9,142,3,11,27,774,156,100,494,1873,729
OTU_398,0,40,53,0,1,70,29,8,4,11,12,17,4,10,15,10,12,10
OTU_110,1,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OTU_243,685,446,221,416,521,1091,27,19,11,36,28,7,3,117,102,19,15,86
OTU_209,1,2,0,0,21,4,2,7,2,3,1,1,12,8,0,7,9,6
OTU_102,1,1,1,0,0,0,3,5,194,2,0,38,208,369,911,709,812,141
OTU_117,639,723,468,877,699,285,75,73,78,26,88,79,14,3,4,28,16,2
OTU_159,0,0,0,0,0,0,1,1,0,1,0,0,13,1,1,9,667,505
OTU_81,790,430,306,298,664,369,427,210,142,72,93,132,33,0,9,114,9,3
OTU_77,0,39,0,0,0,46,4,6,1,17,7,46,0,0,1,2,1,0
OTU_269,166,191,136,392,228,197,179,312,300,342,252,299,104,71,127,99,345,289
OTU_97,0,0,0,0,0,0,7,1,3,2,2,32,0,5,1,4,0,12
OTU_135,0,7,0,0,2,10,3,6,2,4,9,11,17,7,0,0,17,0
OTU_107,0,0,0,0,0,0,0,0,0,0,1,8,1,1,1,1,0,0
OTU_76,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
OTU_227,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,1,6,3
OTU_165,205,222,305,262,445,263,224,237,276,327,472,266,6,178,69,48,0,57
OTU_137,0,0,0,0,0,0,4,3,2,10,8,18,17,0,2,2,1,3
OTU_96,23,9,51,28,2,7,4,5,22,11,36,6,9,8,13,31,28,9
OTU_180,0,1,0,0,0,5,1,0,4,1,0,0,0,0,0,0,0,0
OTU_238,0,17,0,0,0,0,14,11,8,9,20,16,47,15,7,8,10,4
OTU_280,309,293,228,152,250,249,275,164,175,98,197,126,204,66,50,342,316,200
OTU_124,0,0,0,0,0,0,0,0,69,0,1,0,150,310,1488,758,32,884
OTU_186,0,0,0,0,0,1,62,19,267,10,29,15,704,721,404,167,639,207
OTU_190,0,1,0,1,0,9,16,2,6,7,13,14,0,0,2,1,8,5
OTU_175,0,0,0,0,0,0,0,3,8,0,0,5,640,269,348,237,679,1417
OTU_92,1,1,0,2,1,2,0,13,3,0,0,6,3,1,20,3,0,0
OTU_108,157,73,29,22,106,41,374,767,260,549,628,510,0,25,4,8,0,2
OTU_103,730,546,386,569,506,482,27,80,23,66,53,67,0,5,2,1,0,0
OTU_144,0,0,0,1,0,0,3,0,286,0,2,2,256,304,740,1470,143,104
OTU_112,422,580,336,400,371,611,43,56,132,64,96,87,14,43,48,26,66,67
OTU_181,0,0,0,0,0,0,2,1,0,1,2,12,0,0,0,0,0,0
OTU_101,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
OTU_630,376,159,114,168,159,172,65,52,49,60,90,38,55,742,462,177,203,215
OTU_93,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0
OTU_142,0,9,0,0,0,0,10,7,4,2,6,29,2,3,1,2,0,0
OTU_216,63,40,86,37,99,87,162,165,527,509,500,297,59,125,84,50,19,19
OTU_174,0,0,0,0,0,9,7,5,3,7,7,21,16,9,3,2,2,1
OTU_95,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OTU_170,3,1,4,5,27,38,265,179,92,556,714,461,103,77,89,183,103,158
OTU_148,0,0,0,0,0,10,10,8,4,10,9,18,12,2,0,0,3,1
OTU_332,0,0,0,0,0,0,0,0,79,0,2,0,456,1589,157,604,50,73
OTU_319,0,2,0,0,2,7,6,1,1,5,12,27,23,0,1,4,0,0
OTU_331,0,0,0,0,0,0,5,0,3,8,5,5,18,31,180,32,1,2
OTU_167,1,0,0,0,0,115,2,2,0,0,0,0,8,0,1,4,1,1
OTU_122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_157,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0
OTU_126,0,0,0,0,0,0,0,0,0,0,0,0,9,8,1,4,0,13
OTU_121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2428,318,0,0
OTU_195,174,304,299,239,299,478,163,100,64,175,173,225,3,8,7,1,1,6
OTU_145,89,30,2,0,15,8,616,249,160,368,381,498,66,23,10,69,51,53
OTU_191,57,24,15,38,110,153,46,134,302,374,393,369,115,48,43,116,188,165
OTU_161,0,0,0,1,0,0,0,0,0,0,1,0,979,91,693,163,281,447
OTU_297,92,110,56,122,126,74,191,201,205,157,108,107,32,251,173,282,90,269
OTU_188,0,0,0,0,0,0,19,0,0,1,1,0,5,2,7,6,2,11
OTU_223,0,0,0,0,0,0,3,1,0,4,4,1,16,0,0,0,0,2
OTU_184,102,18,15,14,27,156,0,2,5,9,0,14,3,7,6,9,114,7
OTU_128,0,0,0,0,0,3,0,0,0,0,0,0,386,34,752,1273,74,48
OTU_177,0,0,0,0,0,0,7,6,3,9,4,2,16,1,0,0,0,3
OTU_141,0,0,0,0,0,0,3,1,3,4,8,8,0,0,0,0,3,0
OTU_156,0,6,0,0,0,0,11,2,4,10,14,16,1,0,2,5,1,6
OTU_179,0,0,0,0,0,0,0,0,0,0,0,0,860,9,133,1047,135,254
OTU_271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_256,3,1,1,0,3,0,254,224,49,420,566,507,59,155,54,29,18,58
OTU_287,15,1,44,1,1,24,140,30,84,3,10,15,177,375,191,293,463,339
OTU_138,0,0,0,0,0,1,366,150,10,514,678,516,10,32,12,3,27,22
OTU_132,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0
OTU_140,10,17,10,10,11,7,6,4,0,0,12,1,1,1,2,0,1,2
OTU_133,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_178,45,1,4,1,10,28,244,202,33,417,455,396,21,31,41,51,52,40
OTU_169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_233,0,0,0,0,0,3,25,5,4,12,13,17,15,1,3,0,7,5
OTU_166,0,4,0,0,0,115,5,1,1,10,8,11,3,2,1,3,0,3
OTU_168,0,0,0,0,0,0,65,20,50,3,7,34,26,17,28,31,67,23
OTU_192,243,154,112,193,236,129,137,141,191,113,196,132,45,45,57,81,21,26
OTU_236,0,0,0,0,0,0,1,4,2,6,0,3,0,0,0,0,0,0
OTU_392,211,216,238,213,335,171,69,140,157,79,106,127,12,37,44,35,1,27
OTU_232,2,0,1,2,2,0,7,3,3,1,3,7,2,0,4,1,3,6
OTU_226,0,0,0,0,0,0,0,0,0,0,0,0,366,47,729,857,86,83
OTU_605,5,9,36,31,33,34,197,231,211,202,175,177,149,182,154,158,98,84
OTU_225,0,3,0,0,0,0,7,5,6,11,1,4,5,0,23,29,9,17
OTU_213,0,0,0,0,0,0,3,1,0,1,1,3,4,4,4,5,10,11
OTU_176,284,133,70,210,41,72,98,131,245,207,153,183,16,29,67,67,44,84
OTU_162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_347,82,69,33,49,74,49,69,161,176,158,218,223,117,61,97,194,128,146
OTU_281,117,84,90,175,167,158,70,206,73,334,321,251,0,9,25,10,1,1
OTU_252,0,6,0,0,0,0,0,3,2,3,5,5,0,0,0,0,0,0
OTU_158,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,48,11,14
OTU_183,0,0,0,0,0,0,1,0,0,0,0,0,1206,727,15,96,43,0
OTU_149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_257,0,0,0,0,0,0,5,3,1,5,5,1,1,0,0,1,0,9
OTU_284,0,1,0,13,1,75,1,2,1,0,9,2,0,3,0,2,0,0
OTU_512,0,0,5,2,2,8,0,0,0,1,1,0,16,2,1,0,6,1
OTU_172,222,75,99,134,178,120,48,164,184,79,180,195,34,60,59,84,24,87
OTU_229,131,146,178,171,252,203,95,146,141,135,187,158,2,11,9,21,0,14
OTU_245,0,0,0,0,0,0,0,0,0,0,0,0,976,6,0,24,931,61
OTU_365,86,68,132,102,169,189,93,177,144,150,125,196,17,50,76,95,62,42
OTU_187,0,0,0,0,0,0,10,7,3,12,7,11,0,0,0,0,1,0
OTU_193,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
OTU_254,0,0,0,0,11,79,14,1,1,3,13,13,0,1,0,0,0,0
OTU_208,64,19,14,38,185,35,61,55,189,31,9,37,226,77,90,247,315,186
OTU_160,0,0,1,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0
OTU_290,124,48,42,118,89,141,74,106,133,181,156,118,100,84,46,91,137,84
OTU_182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_220,0,0,0,0,0,0,9,8,11,23,18,11,16,2,0,0,4,1
OTU_274,0,0,0,0,0,0,3,2,1,2,3,2,24,3,7,1,6,8
OTU_204,15,6,1,12,23,0,230,213,67,405,315,359,51,49,9,18,3,34
OTU_1735,164,135,197,152,218,116,77,91,149,95,113,106,14,37,56,50,6,23
OTU_276,1,0,12,0,0,0,349,163,200,189,140,12,23,5,120,185,393,1
OTU_288,0,0,1,1,0,396,12,2,4,10,3,2,17,8,6,12,16,22
OTU_221,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
OTU_205,143,98,133,155,184,249,65,74,124,134,134,147,16,42,39,16,0,13
OTU_422,0,0,0,0,0,0,183,171,856,1,0,2,98,45,92,99,133,66
OTU_1826,69,45,51,50,116,104,95,141,321,167,143,217,24,44,61,64,2,25
OTU_206,5,27,2,2,1,1,9,5,71,1,2,43,156,11,32,285,670,401
OTU_199,0,0,0,0,0,0,0,0,0,0,0,0,1069,3,310,302,23,15
OTU_203,2,0,3,0,2,4,2,3,1,2,6,9,0,2,1,0,0,0
OTU_251,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
OTU_350,0,0,0,0,0,0,0,0,132,0,0,0,502,107,68,378,227,243
OTU_266,1,0,0,1,0,1,35,18,64,12,7,11,310,225,90,239,440,197
OTU_250,0,0,0,0,0,0,0,0,0,3,1,1,117,2,6,4,4,6
OTU_259,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0
OTU_258,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_210,0,2,0,0,0,0,3,11,4,4,6,15,0,0,0,0,0,0
OTU_171,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_222,0,9,0,0,0,0,6,0,0,0,3,9,0,0,2,0,0,0
OTU_367,1,0,1,0,1,0,177,196,137,284,234,298,155,26,31,29,9,17
OTU_201,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
OTU_197,0,0,0,0,0,0,17,8,9,16,22,23,0,0,0,0,0,0
OTU_218,37,7,18,0,109,1,58,60,35,119,151,161,66,2,70,18,15,36
OTU_249,56,32,153,101,20,231,36,54,100,28,54,62,0,392,167,40,5,61
OTU_313,364,261,165,244,223,159,13,21,21,12,36,17,10,5,3,7,17,0
OTU_396,0,0,0,0,0,0,7,9,13,0,1,0,203,209,418,476,156,84
OTU_214,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,5,17,14
OTU_468,0,0,0,0,0,0,0,0,0,0,0,0,180,694,404,152,5,110
OTU_248,0,0,0,0,0,0,0,8,6,3,8,0,1,0,1,0,0,0
OTU_194,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
OTU_198,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OTU_235,0,0,0,0,0,0,3,0,1,0,0,0,0,0,2,0,4,0
OTU_215,107,104,293,38,411,12,26,41,107,77,57,153,12,7,19,28,7,0
OTU_255,128,154,217,208,210,302,35,48,37,70,41,39,2,0,2,3,0,0
OTU_200,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0
OTU_240,0,0,0,0,0,0,100,179,367,23,24,43,87,179,240,183,10,34
OTU_207,0,0,0,0,0,0,0,1,0,6,7,4,0,0,0,0,0,0
OTU_298,0,1,53,21,1,47,97,114,138,147,184,49,41,130,48,113,19,86
OTU_410,6,3,5,9,53,20,6,5,0,1,1,0,16,4,5,19,6,5
OTU_247,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
OTU_314,1,0,1,0,1,0,298,155,233,41,56,42,51,134,81,53,110,183
OTU_230,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
OTU_219,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
OTU_231,181,178,56,134,254,85,54,30,151,40,54,56,21,15,25,30,31,40
OTU_239,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
OTU_717,3,1,1,2,1,4,0,1,0,0,0,0,143,18,48,12,29,133
OTU_581,0,0,41,1,7,0,0,2,18,0,0,1,168,31,164,84,485,324
OTU_246,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
OTU_343,0,0,0,0,0,0,1,0,0,423,436,451,0,29,43,0,0,10
OTU_224,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
OTU_404,9,0,1,0,0,0,24,27,61,24,35,26,176,242,72,329,240,121
OTU_265,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2
OTU_373,115,35,3,21,73,56,49,33,3,56,36,71,1,12,5,2,5,3
OTU_562,0,0,0,0,0,0,22,2,104,0,1,7,174,142,117,243,268,283
OTU_283,0,0,0,0,0,0,1,0,1,2,7,2,0,0,0,0,0,0
OTU_286,0,0,0,0,0,0,10,3,3,9,3,31,1,1,2,0,0,2
OTU_370,0,4,0,0,0,0,1,1,1,1,4,0,1,0,1,8,6,7
OTU_317,16,13,17,8,30,2,34,64,20,511,420,196,2,8,6,1,1,0
OTU_569,0,12,0,0,0,12,4,3,1,9,5,17,29,0,2,0,2,1
OTU_217,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU_261,66,118,335,91,207,176,22,22,59,35,41,16,4,33,32,39,29,19
OTU_241,1,0,1,2,0,0,234,100,89,154,174,206,12,114,125,90,30,9
OTU_270,0,0,0,1,11,0,0,0,0,0,0,0,8,2,0,44,0,2
OTU_412,0,0,0,0,0,0,0,0,0,3,0,0,329,182,480,261,9,66
OTU_237,1,0,0,0,0,0,46,22,29,333,250,452,11,137,10,2,1,24
OTU_292,0,0,0,0,0,0,0,0,50,0,0,29,10,28,436,530,55,174
OTU_268,68,82,143,98,431,25,12,1,25,0,1,1,0,9,2,0,0,1
OTU_457,0,4,0,0,0,0,1,0,0,1,1,7,0,0,0,0,0,0
OTU_376,1,0,0,0,0,0,0,0,5,0,0,0,280,106,113,178,305,285
OTU_273,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
OTU_380,0,0,0,0,0,0,0,0,0,0,0,0,32,148,833,232,9,8
OTU_289,0,3,6,1,18,27,14,11,15,5,8,24,63,26,33,91,272,104
OTU_295,1,0,0,0,0,0,143,51,60,94,108,191,95,66,76,55,200,82
OTU_344,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
OTU_335,30,35,39,34,90,53,22,39,46,27,34,23,3,27,25,23,42,16
OTU_263,0,0,1,0,0,0,2,1,2,1,3,1,35,26,2,1,42,7
OTU_267,0,0,0,0,0,0,0,0,0,0,0,0,148,215,443,303,69,52
OTU_253,0,0,0,0,1,0,333,180,89,108,134,173,79,11,19,55,4,27
OTU_272,0,0,0,1,1,0,126,94,109,77,151,102,36,106,119,39,66,188
OTU_282,0,0,0,0,0,0,3,1,5,4,1,3,3,0,0,0,0,0
OTU_264,2,1,2,0,0,0,0,0,1,0,0,7,16,4,2,3,6,19
OTU_312,0,3,0,0,0,3,1,3,2,2,2,5,0,0,1,0,0,2
OTU_446,150,170,224,219,100,100,27,24,25,15,23,25,0,38,15,1,2,14
OTU_234,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0
OTU_425,186,157,196,190,124,202,12,37,35,14,7,11,1,0,0,0,0,0
OTU_497,151,213,145,119,150,132,8,13,22,35,41,18,47,20,5,16,12,15
OTU_467,0,1,1,0,0,0,64,37,359,7,0,10,41,305,221,103,2,10
OTU_306,5,0,1,1,4,87,159,155,163,98,53,92,69,64,44,71,32,49
OTU_304,0,0,0,0,0,0,0,2,1,4,4,0,0,0,0,0,0,0
OTU_402,0,0,0,0,0,0,131,147,459,2,0,0,6,276,51,37,1,21
OTU_385,7,7,26,2,3,1,24,17,37,13,12,30,48,216,200,66,199,218
OTU_324,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0
OTU_642,0,1,0,0,0,0,8,2,5,4,2,6,37,0,0,0,0,0
