,DS1_R_1,DS1_R_2,DS1_R_3,DS1_R_4,DS1_R_5,DS1_R_6,DS2_R_1,DS2_R_2,DS2_R_3,DS2_R_4,DS2_R_5,DS2_R_6,DS3_R_1,DS3_R_2,DS3_R_3,DS3_R_4,DS3_R_5,DS3_R_6
OTU_890,0.024357767,0.037324195,0.015019807,0.001573242,0.013765678,0.033697588,0.029692767,0.005460403,0.027655317,0.025316456,0.024973076,0.023100785,0.021040025,0.008160734,0.008119387,0.011850548,0.029288631,0.015323844
OTU_1084,0,0,0,0,0,0,0.0052399,0.005460403,0.003253567,0.005063291,0.004682452,0.024750842,0,0,0,0,0,0
OTU_709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_904,0,0,0.001877476,0,0.003059039,0.34339447,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1010,0,0,0,0,0,0,0,0,0,0,0,0,0.024276951,0,0.01948653,0.028779901,0.070637286,0.223047061
OTU_1015,0.003247702,0.005089663,0.003754952,0,0.009177118,0,0.040172567,0.036402687,0.056937418,0.003375527,0.006243269,0.008250281,0.038843122,0.022850055,0.001623877,0.023701095,0.044794377,0.059592726
OTU_1063,0,0.005089663,0,0,0.00152952,0,0.006986533,0.010920806,0.01464105,0.025316456,0.014047355,0.019800673,0,0.008160734,0.001623877,0.015236418,0,0.006810597
OTU_670,0,0.003393109,0,0.003146485,0,0.003209294,0.003493267,0.007280537,0.00488035,0.001687764,0.003121634,0.001650056,0.001618463,0.003264294,0,0.001692935,0.001722861,0
OTU_948,0,0,0,0,0,0,0,0,0,0,0,0,0.046935439,0.019585761,0.00649551,0.035551643,0.091311614,0.163454335
OTU_649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_714,0,0.001696554,0,0,0,0,0.001746633,0.005460403,0,0,0.001560817,0.001650056,0,0,0,0,0,0
OTU_1013,0.01461466,0.01187588,0.018774759,0.011012696,0.012236158,0.059371941,0.118771069,0.029122149,0.001626783,0.047257384,0.007804086,0.003300112,0,0.006528587,0.00649551,0.003385871,0.001722861,0.003405299
OTU_666,0,0.001696554,0,0,0,0,0.006986533,0.001820134,0,0.005063291,0.007804086,0.011550393,0.001618463,0,0.003247755,0,0,0.001702649
OTU_770,0,0,0,0,0,0,0.027946134,0.023661746,0.022774967,0.047257384,0.035898797,0.014850505,0,0.003264294,0,0,0,0
OTU_873,0,0,0,0,0.024472316,0,0.006986533,0.076445642,0.01464105,0.035443038,0.074919228,0.070952412,0.001618463,0.003264294,0,0.008464677,0.015505746,0.018729143
OTU_764,0,0,0,0,0,0,0.012226434,0.005460403,0,0,0,0.003300112,0,0.017953614,0.303665092,0,0,0
OTU_777,0,0.001696554,0,0,0,0.174906529,0,0,0,0,0,0,0,0.008160734,0,0,0,0.003405299
OTU_910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_730,0,0.001696554,0,0,0.004588559,0,0,0,0,0,0,0,0.121384757,0.037539376,0.016238775,0.040630449,0.05340868,0.071511272
OTU_786,0,0,0,0,0.012236158,0,0.0157197,0.003640269,0.013014267,0.015189873,0.014047355,0.018150617,0,0,0,0,0,0.001702649
OTU_804,0,0,0,0,0,0,0,0,0,0,0,0,0.114910904,0,0.001623877,0.013543483,0.174008924,0.040863584
OTU_827,0.040596278,0.01187588,0.007509904,0.11641993,0.010706638,0.040116176,0.0052399,0.009100672,0,0,0,0.004950168,0,0.009792881,0.001623877,0.008464677,0.001722861,0.066403324
OTU_1011,0,0,0,0,0,0,0,0,0,0,0,0,0.022658488,0.019585761,0.02598204,0.106654929,0.077528729,0.095348362
OTU_1421,0.025981618,0.005089663,0.020652235,0.009439454,0.00152952,0.003209294,0.096064835,0.060064433,0.01464105,0.005063291,0.057750238,0.018150617,0.00485539,0,0.004871632,0.015236418,0.001722861,0.005107948
OTU_726,0,0,0,0,0,0,0,0.001820134,0,0,0,0,0.011329244,0,0,0,0.005168582,0.003405299
OTU_753,0.001623851,0,0.007509904,0.004719727,0,0.035302235,0.006986533,0,0.001626783,0,0,0.001650056,0,0,0,0.001692935,0.001722861,0.001702649
OTU_972,0,0,0,0,0,0,0,0,0,0,0,0,0.037224659,0.132203888,0.02598204,0.077875028,0.003445721,0.064700674
OTU_1108,0.032477023,0.003393109,0.043181946,0.017305665,0.018354237,0.001604647,0.033186034,0.056424164,0.030908884,0.006751055,0.046824517,0.018150617,0.001618463,0.006528587,0.01299102,0.008464677,0,0.005107948
OTU_891,0,0.003393109,0,0,0,0,0.003493267,0.005460403,0.006507133,0.006751055,0.012486538,0.008250281,0,0.016321468,0.001623877,0,0,0.005107948
OTU_693,0,0,0,0,0,0,0.167676803,0.10920806,0,0,0.001560817,0.062702132,0,0,0,0,0.008614303,0.003405299
OTU_839,0,0.003393109,0,0,0,0,0.0052399,0,0.003253567,0.001687764,0.001560817,0.003300112,0,0,0,0,0,0
OTU_949,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150157502,0.167259382,0.010157612,0.001722861,0.001702649
OTU_872,0.001623851,0,0,0,0.00152952,0,0.006986533,0.025481881,0.034162451,0.021940928,0.024973076,0.069302356,0.046935439,0.022850055,0.014614897,0.050788061,0.010337164,0
OTU_952,0.008119256,0,0,0.018878908,0.012236158,0,0.0157197,0.016381209,0.030908884,0.010126582,0.003121634,0.001650056,0.072830854,0.027746495,0.01299102,0.037244578,0.031011491,0.035755636
OTU_1186,0.021110065,0.008482771,0.00938738,0.029891604,0.006118079,0.099488118,0,0.003640269,0.022774967,0.023628692,0.003121634,0.004950168,0.027513878,0.00489644,0.001623877,0.001692935,0.015505746,0.013621195
OTU_743,0.021110065,0.025448314,0.037549518,0.011012696,0.030590395,0.001604647,0.013973067,0.029122149,0.00488035,0.038818565,0.014047355,0.031351066,0.008092317,0.00489644,0.008119387,0.003385871,0.032734352,0.020431792
OTU_826,0,0,0,0,0,0.001604647,0.003493267,0.003640269,0.001626783,0,0.001560817,0.001650056,0.016184634,0.047332256,0.001623877,0.010157612,0.020674328,0.015323844
OTU_833,0,0,0,0,0,0,0.0104798,0.007280537,0.003253567,0.003375527,0.006243269,0.006600224,0,0,0,0,0.003445721,0
OTU_658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_689,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05059655,0.212727952,0.042323385,0,0.015323844
OTU_692,0,0.006786217,0,0,0,0,0.029692767,0.010920806,0.011387484,0.011814346,0.020290624,0.021450729,0,0.031010788,0.115295302,0.033858708,0,0.032350337
OTU_737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1044,0.006495405,0.003393109,0,0,0.067298868,0.009627882,0,0.001820134,0.00488035,0,0,0.001650056,0.001618463,0.00489644,0.001623877,0.006771742,0.003445721,0.003405299
OTU_1378,0,0,0,0,0,0,0,0,0,0,0,0,0.017803098,0.003264294,0.034101427,0.081260898,0.086143032,0.107266907
OTU_970,0,0,0,0,0,0,0,0,0,0.001687764,0,0,0,0,0,0,0,0
OTU_733,0,0,0,0,0,0,0,0,0,0,0,0,0.003236927,0,0,0,0.325620661,0.005107948
OTU_1021,0,0,0,0,0,0,0.066372068,0.038222821,0.021148184,0.035443038,0.043702883,0.023100785,0.008092317,0.011425027,0.017862652,0.010157612,0.029288631,0.020431792
OTU_1267,0,0,0,0,0,0,0,0,0.058564201,0,0,0,0.043698513,0.047332256,0.035725305,0.020315225,0.022397188,0.035755636
OTU_763,0.001623851,0.001696554,0,0,0,0.001604647,0.0052399,0.020021478,0.003253567,0.054008439,0.076480045,0.013200449,0.042080049,0.044067963,0.011367142,0.001692935,0.017228606,0.018729143
OTU_1236,0,0,0,0,0,0,0.001746633,0.001820134,0,0.005063291,0.003121634,0.004950168,0.063120074,0.006528587,0.008119387,0.001692935,0.020674328,0.018729143
OTU_1452,0,0,0,0,0,0,0,0,0,0,0,0,0.001618463,0,0,0,0,0
OTU_806,0,0,0,0,0,0,0,0,0,0,0,0,0.121384757,0.008160734,0.008119387,0.035551643,0.070637286,0.071511272
OTU_811,0,0,0,0,0,0,0,0,0,0.001687764,0,0,0.299415735,0,0.001623877,0.005078806,0,0
OTU_706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_829,0,0,0.001877476,0.177776379,0,0,0,0,0,0,0,0,0.048553903,0.006528587,0.004871632,0.010157612,0.012060024,0.006810597
OTU_707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1759,0.076321003,0.001696554,0,0,0,0,0.003493267,0,0,0,0,0,0,0,0,0,0,0
OTU_747,0,0,0,0,0,0,0.001746633,0.001820134,0,0.003375527,0.001560817,0.004950168,0,0,0.001623877,0,0,0
OTU_882,0.006495405,0,0.003754952,0.007866211,0.007647599,0.001604647,0.006986533,0,0.001626783,0,0.001560817,0.006600224,0,0.001632147,0.004871632,0.008464677,0.010337164,0.017026493
OTU_985,0,0,0,0,0,0,0.022706234,0.020021478,0.013014267,0.021940928,0.020290624,0.018150617,0,0,0,0,0,0
OTU_723,0,0,0,0,0,0,0,0,0,0,0,0,0.030750805,0.040803669,0.01299102,0.072796221,0.089588753,0.066403324
OTU_911,0.001623851,0,0.033794567,0,0,0,0,0.001820134,0.006507133,0,0.003121634,0.008250281,0.014566171,0.013057174,0.004871632,0.033858708,0.151611736,0.044268882
OTU_936,0.006495405,0.018662097,0.016897283,0.029891604,0.003059039,0,0.0104798,0.005460403,0.017894617,0.020253165,0.006243269,0.004950168,0.019421561,0.019585761,0.003247755,0.020315225,0.072360147,0.034052986
OTU_703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1244,0,0,0,0,0,0,0.003493267,0,0,0,0.007804086,0.004950168,0.153754026,0.026114348,0.00649551,0.016929354,0.05340868,0.005107948
OTU_823,0,0,0,0,0.00152952,0,0.193876303,0.078265776,0.003253567,0.003375527,0.003121634,0.036301234,0,0,0,0,0,0
