,DS1_L_1,DS1_L_2,DS1_L_3,DS1_L_4,DS1_L_5,DS1_L_6,DS2_L_1,DS2_L_2,DS2_L_3,DS2_L_4,DS2_L_5,DS2_L_6,DS3_L_1,DS3_L_2,DS3_L_3,DS3_L_4,DS3_L_5,DS3_L_6
OTU_1642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1692,0,0,0,0.012501172,0,0,0.001530386,0.004618582,0,0.007415317,0.077787861,0,0.001371893,0.001391111,0,0.003479108,0,0.003536318
OTU_1867,0.00150184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_976,0,0,0,0,0.112913486,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1113,0,0,0,0,0,0,0,0.08775306,0,0.001483063,0.011112552,0,0,0,0,0,0,0
OTU_1115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1176,0,0,0,0,0,0,0,0,0.104342123,0,0,0,0,0,0,0,0,0
OTU_1488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1516,0,0,0,0,0,0,0,0.003079055,0.061114672,0.001483063,0.038893931,0,0,0,0.001422819,0,0.00141207,0.001768159
OTU_1584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1051,0,0,0,0,0,0,0.107127007,0,0,0,0,0,0,0,0,0,0,0
OTU_1056,0,0,0,0,0,0,0,0,0,0,0.127794344,0,0,0,0,0,0,0
OTU_1058,0,0,0,0,0,0,0,0,0,0,0,0.001409443,0,0,0,0,0,0
OTU_1222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1017,0,0,0,0,0,0,0.001530386,0,0,0,0,0.095842142,0,0,0,0,0,0
OTU_1213,0,0,0,0,0,0,0,0,0,0.059322537,0.042598115,0,0.001371893,0,0,0,0,0.001768159
OTU_1228,0,0.05757447,0.020480332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1605,0,0.07676596,0,0,0,0.001525344,0,0,0,0,0,0,0,0,0.001422819,0,0,0
OTU_1209,0,0,0,0,0,0,0.062745818,0,0,0.001483063,0,0,0,0,0,0,0,0
OTU_1210,0,0,0,0,0,0,0.09488392,0.004618582,0.004471805,0,0,0,0,0,0,0,0,0
OTU_1226,0,0,0,0,0,0,0.001530386,0,0,0,0,0,0,0,0,0,0,0
OTU_1282,0,0,0,0,0,0,0.088762377,0.012316219,0,0,0.001852092,0,0,0,0,0,0,0
OTU_1345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1804,0,0,0.034133887,0,0.003180662,0.012202749,0.001530386,0.001539527,0,0.007415317,0.001852092,0,0,0,0,0,0.018356915,0.003536318
OTU_1869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1098,0,0,0,0,0,0,0.001530386,0,0.001490602,0,0.011112552,0,0,0,0.082523512,0,0,0
OTU_1145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1193,0,0,0,0,0,0,0.085701605,0,0,0,0.00926046,0,0,0,0,0,0,0.001768159
OTU_1221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1864,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001391111,0,0,0,0
OTU_1197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1239,0,0,0,0,0,0,0.003060772,0.003079055,0,0.002966127,0.077787861,0,0.002743785,0.001391111,0.001422819,0,0.00141207,0.005304477
OTU_1302,0,0,0,0,0,0.001525344,0.003060772,0.073897314,0,0,0,0,0,0,0,0,0,0
OTU_1342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1634,0,0,0,0,0,0,0,0,0,0,0.120385976,0,0.001371893,0,0,0,0,0
OTU_1768,0,0,0,0,0,0,0,0,0,0.001483063,0,0,0,0,0,0,0,0
OTU_1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1680,0,0,0,0.006250586,0.003180662,0.004576031,0.006121543,0.007697637,0.002981204,0.002966127,0,0,0.004115678,0,0.002845638,0.003479108,0.002824141,0.007072636
OTU_1743,0,0,0,0,0,0,0.035198874,0,0.002981204,0,0.020373011,0.002818887,0.004115678,0,0,0.001739554,0,0.005304477
OTU_1317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1459,0,0,0,0,0,0,0.004591157,0.004618582,0.019377823,0.010381444,0.005556276,0.001409443,0.005487571,0.005564443,0.004268458,0.010437324,0.00141207,0.001768159
OTU_1504,0,0,0,0,0,0,0,0,0.001490602,0,0,0,0,0,0,0,0,0.007072636
OTU_1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106112793,0,0
OTU_1224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1266,0,0,0,0,0,0,0.001530386,0.001539527,0.011924814,0,0.077787861,0,0,0,0,0,0,0.001768159
OTU_1362,0,0,0,0,0,0,0,0,0,0.00444919,0.098160873,0,0,0,0.001422819,0,0,0.001768159
OTU_1436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1465,0,0,0,0,0,0,0.006121543,0.009237164,0.004471805,0.001483063,0.00926046,0,0.001371893,0.006955554,0,0.013916432,0.007060352,0.005304477
OTU_1607,0.00150184,0,0.002730711,0.078132325,0.004770992,0.001525344,0.003060772,0,0,0,0.003704184,0,0,0,0,0,0,0
OTU_1676,0,0,0,0,0,0,0.003060772,0.004618582,0.005962407,0.002966127,0.031485563,0.002818887,0.001371893,0.004173332,0.001422819,0.003479108,0,0.001768159
OTU_1187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1191,0,0,0,0,0,0,0.016834244,0.012316219,0,0.00444919,0.055562758,0.001409443,0.001371893,0,0,0,0.00141207,0
OTU_1247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1392,0,0,0,0,0,0,0,0,0.001490602,0.001483063,0.10556924,0,0,0,0,0,0,0
OTU_1456,0,0,0,0,0,0,0,0,0.002981204,0.001483063,0,0.001409443,0,0,0,0.001739554,0,0.001768159
OTU_1472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1632,0,0,0,0,0,0,0.001530386,0,0,0,0.098160873,0.001409443,0,0.001391111,0,0.001739554,0.00141207,0
OTU_1135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1151,0,0,0,0,0,0,0,0.090832115,0,0,0,0,0,0,0,0,0.00141207,0.001768159
OTU_1231,0,0,0,0,0,0.001525344,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1327,0,0,0,0,0,0,0,0.02309291,0,0.001483063,0,0,0,0,0,0,0,0
OTU_1341,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082075537,0,0,0,0
OTU_1406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1572,0,0,0,0,0,0,0.001530386,0.012316219,0.004471805,0.001483063,0.050006482,0.00422833,0.001371893,0.002782222,0,0.00869777,0,0
OTU_1652,0,0,0,0,0,0,0,0,0,0,0,0.001409443,0,0,0,0,0,0
OTU_1691,0,0,0,0,0,0,0,0.001539527,0.002981204,0.002966127,0.074083678,0.001409443,0,0,0.001422819,0.006958216,0,0.005304477
OTU_1770,0,0,0,0.001562646,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1833,0,0,0,0,0.001590331,0,0.015303858,0.003079055,0.001490602,0.00889838,0.018520919,0.011275546,0.001371893,0.001391111,0,0.001739554,0,0.001768159
OTU_1865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1257,0,0,0,0,0,0,0,0,0,0.001483063,0,0,0,0,0,0,0,0
OTU_1321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1402,0,0.001370821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1279,0,0.001370821,0.001365355,0,0,0.001525344,0.006121543,0,0.002981204,0,0.022225103,0.043692741,0,0,0.001422819,0,0,0
OTU_1325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1332,0,0,0,0,0,0,0,0,0.002981204,0,0,0.07751938,0,0,0,0,0,0
OTU_1354,0,0,0,0,0,0,0.009182315,0.001539527,0,0.068220917,0.001852092,0,0,0,0,0,0,0
OTU_1373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001739554,0,0
OTU_1580,0,0,0,0,0,0,0,0,0,0,0.10556924,0,0,0,0,0,0,0
OTU_1635,0,0,0,0,0,0,0,0.001539527,0.002981204,0,0.079639953,0.001409443,0.005487571,0.001391111,0.001422819,0.001739554,0.00141207,0.003536318
OTU_1840,0,0,0,0,0,0,0.013773472,0.001539527,0,0,0,0,0,0,0,0.003479108,0,0
OTU_1127,0,0,0,0,0,0,0,0,0,0,0.024077195,0,0,0.001391111,0.055489948,0.001739554,0.00141207,0.001768159
OTU_1248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1305,0,0,0,0,0,0,0,0,0,0,0.001852092,0,0,0,0,0,0,0
OTU_1337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1361,0,0,0,0,0,0,0,0,0.019377823,0.001483063,0.077787861,0,0.001371893,0,0,0,0,0
OTU_1624,0,0,0,0,0,0,0.004591157,0.009237164,0.004471805,0,0.005556276,0,0.015090819,0.001391111,0.009959734,0.015655986,0.005648282,0.01768159
OTU_1745,0,0,0,0,0,0,0.003060772,0.006158109,0.010434212,0.002966127,0.001852092,0.00422833,0.004115678,0,0.012805373,0.003479108,0.002824141,0
OTU_1123,0,0,0,0,0,0,0,0.086213532,0,0,0,0,0,0,0,0,0,0
OTU_1137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1829,0,0,0,0,0,0,0.038259645,0,0.001490602,0,0.027781379,0.002818887,0,0,0,0,0.00141207,0.003536318
OTU_1216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1285,0,0,0,0,0,0,0.003060772,0,0.001490602,0,0.018520919,0,0,0,0.052644309,0,0.00141207,0.001768159
OTU_1333,0,0,0,0,0,0,0,0,0.061114672,0,0.005556276,0,0,0,0,0,0,0
OTU_1430,0,0,0,0,0,0,0.001530386,0,0,0,0.001852092,0.021141649,0,0.001391111,0,0,0.00141207,0
OTU_1545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1740,0,0,0,0,0,0,0,0,0.001490602,0,0,0,0,0,0.001422819,0,0.00141207,0
OTU_1792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1144,0,0,0,0.076569678,0,0,0,0,0.002981204,0,0.001852092,0,0,0,0.001422819,0,0,0
OTU_1150,0,0,0,0,0,0,0.081110448,0,0,0,0,0,0,0,0,0,0,0
OTU_1313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1439,0,0,0,0.003125293,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001768159
OTU_1525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1608,0,0,0,0.082820264,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1837,0,0,0.001365355,0,0,0,0.032138102,0,0,0,0,0.042283298,0,0,0,0,0,0.001768159
OTU_1876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1174,0,0,0,0,0,0,0.06580659,0,0.007453009,0,0.001852092,0.002818887,0,0,0,0,0,0
OTU_1272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1429,0,0,0,0,0,0,0,0,0,0,0.090752505,0,0,0,0,0,0,0
OTU_1503,0.004505519,0,0,0,0.003180662,0,0,0,0,0.001483063,0,0,0,0.001391111,0,0.001739554,0,0
OTU_1577,0,0,0,0,0,0,0,0,0,0.044491902,0.037041839,0,0,0,0,0,0,0
OTU_1585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1708,0,0,0,0,0,0,0,0,0,0,0,0,0.001371893,0,0,0,0,0
OTU_1741,0,0,0,0,0,0,0.033668488,0,0,0,0.001852092,0.001409443,0,0,0.001422819,0.001739554,0.002824141,0
OTU_1787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1511,0,0,0,0,0,0,0.004591157,0.004618582,0.011924814,0.001483063,0.007408368,0.005637773,0,0.002782222,0.002845638,0.003479108,0.002824141,0.001768159
OTU_1514,0,0,0,0,0,0,0,0.078515896,0,0,0,0,0,0,0,0,0,0
OTU_1588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1751,0,0,0,0,0,0,0.004591157,0.001539527,0.010434212,0.002966127,0.040746023,0,0.004115678,0.001391111,0.004268458,0.001739554,0.002824141,0
OTU_1823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1253,0,0,0,0.078132325,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1304,0,0,0,0,0,0,0,0,0,0,0.090752505,0,0,0,0,0,0,0
OTU_1464,0,0,0,0,0,0,0.001530386,0.003079055,0.002981204,0,0.053710666,0,0.001371893,0,0.001422819,0,0.00141207,0.003536318
OTU_1522,0,0,0,0,0,0,0,0,0,0,0.092604597,0,0,0,0,0,0,0
OTU_1639,0,0,0,0,0,0,0,0,0.002981204,0,0,0,0.010975141,0,0.01707383,0.046967957,0,0.001768159
OTU_1687,0,0,0,0,0,0.001525344,0,0,0,0,0.077787861,0,0,0.001391111,0,0.001739554,0,0
OTU_1696,0,0,0,0,0,0,0,0,0,0,0.092604597,0,0,0,0,0,0,0
OTU_1742,0,0,0,0,0,0,0.02907733,0,0.002981204,0,0,0,0,0,0,0,0,0
OTU_1766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1394,0,0,0,0,0,0,0,0,0,0,0.005556276,0.06483439,0,0,0,0,0,0
OTU_1434,0,0,0,0,0,0,0.001530386,0,0,0,0,0,0,0,0,0,0,0
OTU_1538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1746,0,0,0,0,0,0,0.007651929,0.009237164,0.001490602,0.00444919,0.001852092,0,0.001371893,0.001391111,0.004268458,0.010437324,0.002824141,0.012377113
OTU_1775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1862,0,0,0,0,0,0,0,0.004618582,0,0,0,0.002818887,0.002743785,0.001391111,0.001422819,0.005218662,0.004236211,0
OTU_1887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1171,0,0,0,0,0,0,0.073458519,0,0,0,0,0,0,0,0,0,0,0
OTU_1435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1462,0,0,0,0,0,0,0.001530386,0,0.002981204,0.00444919,0.011112552,0.002818887,0.006859463,0.006955554,0.002845638,0.001739554,0.004236211,0.005304477
OTU_1471,0,0,0,0,0,0,0,0.001539527,0.001490602,0,0,0.005637773,0,0,0,0,0,0.003536318
OTU_1484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1677,0,0,0,0,0,0,0.006121543,0.003079055,0.011924814,0,0.005556276,0,0.009603249,0.009737776,0.002845638,0.00869777,0.004236211,0.012377113
OTU_1817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1263,0,0,0,0,0,0,0.015303858,0,0.010434212,0.038559649,0.003704184,0,0,0,0,0,0,0
OTU_1294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1418,0,0,0,0,0,0,0.001530386,0,0,0.001483063,0,0.001409443,0,0,0,0.001739554,0.004236211,0.001768159
OTU_1702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1355,0,0,0,0,0,0,0.061215432,0,0.005962407,0.001483063,0.001852092,0,0,0,0,0,0,0
