,DS1_R_1,DS1_R_2,DS1_R_3,DS1_R_4,DS1_R_5,DS1_R_6,DS2_R_1,DS2_R_2,DS2_R_3,DS2_R_4,DS2_R_5,DS2_R_6,DS3_R_1,DS3_R_2,DS3_R_3,DS3_R_4,DS3_R_5,DS3_R_6
OTU_62,0.125036537,0.161172658,1.041999136,0.062929692,0.844294891,0.194162294,0.0209596,0.163812089,0.130142669,0.027004219,0.020290624,0.031351066,0.378720443,0.145261062,0.139653465,0.094804381,1.428251469,0.475039161
OTU_26,0.056834789,0.025448314,0,0,0.006118079,0.389929235,0.164183536,0.167452358,0.112248052,0.15021097,0.068675959,0.132004488,1.149109036,0.346015114,0.206232442,0.192994633,0.477232397,0.389906695
OTU_576,0,0,0,0,0,0,0.001746633,0.001820134,0.003253567,0.001687764,0.003121634,0.041251403,0.032369269,0.075078751,0.022734285,0.032165772,0.051685819,0.02553974
OTU_1529,0,0,0,0,0,0,0,0,0.050430284,0,0,0,0,0,0,0,0.005168582,0
OTU_1241,0,0,0.001877476,0,0,0,0,0,0,0,0,0,0.046935439,0.042435816,0.029229795,0.025394031,0.020674328,0.052782129
OTU_1622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001722861,0.003405299
OTU_1333,0,0,0,0,0,0,0,0,0,0,0,0,0.016184634,0,0,0,0,0
OTU_729,0,0,0,0.001573242,0,0,0,0,0,0,0,0,0.173175587,0.093032365,0.042220815,0.067717415,0.153334597,0.078321869
OTU_432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_60,0.003247702,0.001696554,0.001877476,0.02045215,0.1162435,0,0.057638901,0.001820134,0.001626783,0.003375527,0.001560817,0,0,0,0,0,0,0
OTU_928,0.224091455,0,0.04130447,0,0.067298868,0.019255765,0.003493267,0,0.001626783,0.003375527,0.003121634,0.001650056,0.011329244,0,0.001623877,0.08803264,0.001722861,0.008513247
OTU_857,0,0,0.165217881,0,0,0.056162647,0,0,0,0,0,0,0.001618463,0,0,0,0.008614303,0
