Sample,animal_parasites_or_symbionts,Group2
SRR22998159,6.453950388,Ningbo_L_Urban
CRR044800,6.545454545,ZH11_R_Field
SRR22998156,6.640416312,Ningbo_L_Urban
SRR22998180,6.685432794,Ningbo_L_Urban
DS2_L_4,7.02079529,ZH11_L_Urban
SRR22998170,7.080087877,Ningbo_L_Urban
SRR22998166,7.176348263,Ningbo_L_Urban
SRR22998174,7.305723901,Ningbo_L_Urban
SRR22998184,7.354443309,Ningbo_L_Urban
DS1_L_1,7.411132504,ZH11_L_Urban
DS2_L_3,7.521176861,ZH11_L_Urban
SRR22998176,8.034042254,Ningbo_L_Urban
SRR22998181,8.336927525,Ningbo_L_Urban
SRR22998169,8.607567092,Ningbo_L_Urban
SRR22998182,8.963810434,Ningbo_L_Urban
SRR22998186,9.153533837,Ningbo_L_Urban
SRR22998153,9.271101682,Ningbo_L_Urban
SRR22998188,9.348620386,Ningbo_L_Urban
DS3_L_2,9.443501626,ZH11_L_Urban
SRR22998179,9.64765673,Ningbo_L_Urban
SRR22998148,10.03171825,Ningbo_L_Urban
SRR22998146,10.39945836,Ningbo_L_Urban
DS1_L_6,10.62928157,ZH11_L_Urban
SRR22998149,11.20067195,Ningbo_L_Urban
SRR22998150,12.41035418,Ningbo_L_Urban
SRR22998155,13.56909154,Ningbo_L_Urban
SRR22998158,13.74996891,Ningbo_L_Urban
DS2_L_5,14.00448143,ZH11_L_Urban
SRR22998154,15.19532452,Ningbo_L_Urban
DS1_L_3,16.80518808,ZH11_L_Urban
DS1_L_5,17.21952318,ZH11_L_Urban
SRR22998183,17.64319369,Ningbo_L_Urban
DS1_L_2,18.31898389,ZH11_L_Urban
SRR22998175,19.00441007,Ningbo_L_Urban
DS1_L_4,20.16062394,ZH11_L_Urban
SRR22998189,20.42212348,Ningbo_L_Urban
SRR22998185,28.56884943,Ningbo_L_Urban
SRR22998165,28.79029388,Ningbo_L_Urban
