genus,SRR30617128,SRR30617129,SRR30617130,SRR30617131,SRR30617132,SRR30617133,SRR30617134,SRR30617135,SRR30617136,SRR30617137,SRR30617138,SRR30617139,SRR30617140,SRR30617141,SRR30617142,SRR30617143,SRR30617144,SRR30617145,SRR30617146,SRR30617147,SRR30617148,SRR30617149,SRR30617150,SRR30617151,SRR30617152,SRR30617153,SRR30617154,SRR30617155,SRR30617156,SRR30617157,SRR30617158,SRR30617159,SRR30617160,SRR30617161,SRR30617162,SRR30617163,SRR30617164,SRR30617165,SRR30617166,SRR30617167,SRR30617168,SRR30617169,SRR30633102,SRR30633103,SRR30633104,SRR30633105,SRR30633106,SRR30633107,SRR30633108,SRR30633109,SRR30633120,SRR30633121,SRR30633190,SRR30633191,SRR30633192,SRR30633193,SRR30633194,SRR30633195,SRR30633196,SRR30633197,SRR30633208,SRR30633209,SRR30633243,SRR30633244,SRR30633245,SRR30633246,SRR30633247,SRR30633248,SRR30633249,SRR30633250,SRR30633251,SRR30633252,SRR30633253,SRR30633254,SRR30633255,SRR30633266,SRR30633267,SRR30633297,SRR30633298,SRR30633299,SRR30633300,SRR30633301,SRR30633302,SRR30633303,SRR30633312,SRR30633313,SRR30663788,SRR30663789,SRR30663790,SRR30663791,SRR30663792,SRR30663793,SRR30663794,SRR30663795,SRR30663806,SRR30663807,SRR30663808,SRR30663809,SRR30663810,SRR30663811,SRR30663812,SRR30663813,SRR30663814,SRR30663815,SRR30663826,SRR30663827,SRR30663829,SRR30663830,SRR30663831,SRR30663832,SRR30663833,SRR30663834,SRR30663835,SRR30663845,SRR30663846,SRR30663862,SRR30663863,SRR30663864,SRR30663865,SRR30663866,SRR30663869,SRR30663870,SRR30663874,SRR30663875,SRR30663876,SRR30663877,SRR30663878,SRR30663883,SRR30663884,SRR30663908,SRR30663909,SRR30663910,SRR30663911,SRR30663912,SRR30663918,SRR30663919,SRR30663920,SRR30663921,SRR30663922,SRR30663923,SRR30663924,SRR30663925,SRR30663926,SRR30663927,SRR30663936,SRR30663937,SRR30664010,SRR30664011,SRR30664012,SRR30664013,SRR30664014,SRR30664015,SRR30664016,SRR30664017,SRR30664028,SRR30664029,SRR30688664,SRR30688665,SRR30688666,SRR30688667,SRR30688668,SRR30688669,SRR30688670,SRR30688680,SRR30688681
Coprococcus_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008867449,0.052627836,0.00386573,0.014114879,0,0.000855498,0,0,0.013526501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000962371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003499195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cupriavidus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001143131,0.006122699,0,0,0,0.006058892,0.015087052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018679718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106949012,0,0,0,0,0,0,0,0,0,0,0.008322583,0.019538882,0.090514983,0.029437739,0.040241449,0.028743892,0,0,0,0,0,0,0,0.000855498,0,0,0,0,0,0,0.0126732,0,0.003538445,0,0,0.268920476,0.004498021,0.003876871,0.001798602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000796261,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000958993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001349391,0,0,0,0,0
Enterobacter,0.002265519,0.108213397,0.008426907,0,0.03972107,0.046010065,0.01435235,0.009139515,0,0.05121089,0.0085531,0.012115888,0.013854061,0.001828388,0.145958767,0.001305653,0.096973409,0.037417273,0.00246069,0.012732366,0.016034818,0,0.004416961,0,0.071396462,0.004325634,0,0.061894706,0.002054021,0.013717578,0.048981591,0.005379911,0.016507401,0.019694408,0.026255201,0.013578347,0,0,0,0.013689879,0.004937235,0.005364159,0,0,0,0.005991073,0,2.051999201,0,0.008111616,0,0.003735944,0,0.837251978,0.011198208,0.038172796,0.03511236,0,0.278771302,0,0.067539046,0,0,0,0,0.015993603,0.011510129,0.128338814,0,0,0,0,0.004512635,0.007975754,0,0.079861111,0.034979489,0,0.016645167,0.009769441,0.004763946,0.029437739,0.003353454,0.017964932,0.032271945,0.005103864,0,0,0,0.531660459,0.085501706,0.284880786,0.341557023,0.070198586,0.091125903,0,0.023089356,0.004689772,0.0042244,0,0,0,0,0.057625816,0.026988125,0,0.00044965,0,0,0,0.003976301,0,0,0,0,0,0.001160537,0.000734225,0,0.00102328,0.000790801,0,0.014134276,0.054499873,0.028918858,0.046632955,0,0,0,0.214990405,0.027908767,0.045197362,0.040427832,0.014984416,0.044939011,0,0.016078894,0,0.009223249,0.049908738,0.478741777,0.399962235,0.090506658,0.08918639,0.431177446,0,0,0.005159959,0.014827995,0.005978805,0.062403549,0.030640473,0.044886377,0.018444999,0.379224449,0.146636253,0.019238631,0.019828257,0,0.30428769,0.000799405,0.818501793,0.016059882,0.627209797,0.824903043
Escherichia-Shigella,0.054372451,0.405800238,0.202245771,0.841246044,0.790007944,0.097771387,0.055017342,1.064753462,0.206905758,0.170152311,0.018531718,0.078753275,0.054030839,0.140785841,0.446998723,0.053531793,0.255193181,0.98220341,1.368143901,0.407435702,0.139731989,0.068777069,1.875,0.040609687,0.245921147,0.748334631,0.015400674,0.25850142,0.184861867,0.09945244,0.248989755,0.218783064,0.179747253,0.124731253,0.187825665,0.072417851,0.16763182,0.221171186,0.238348997,0.09582915,0.023451868,0.034867036,0.023606062,0,0.004289636,0,0.002604913,0.019977739,0,0.032446463,0,0.029887548,0.090601595,0.02293841,0.111982083,0.076345591,0,0.286612426,0.142015569,0,0,0,0,0,0.027102107,0.06397441,0.034530387,0.037432154,0.012075836,0.00704672,0,0,0,0.007975754,0.003830537,0.003472222,0,0.009298577,0.008322583,0.006512961,0.028583679,0.047836326,0.020120724,0.007185973,0.075301205,0,0,0,0.006442884,0.032150559,0.012331977,0.071006322,0.016526953,0.009303427,0.019933791,0.0058332,0.005772339,0.014069315,0.038019601,0.013845302,0.024769116,0.025539988,0.003858025,0,0.013494063,0,0.002023427,0,0.005471357,0.009986518,0,0,0,0.007412074,0,0,0,0.000734225,0,0,0,0.000747636,0.46771603,0.046022115,0.516307415,0.026231037,0.000886423,0,0.000787991,0.16801102,0.025984025,0.071980984,0.098432982,0.019979222,0.054925458,0.008309098,0.002679816,0,0.003074416,0.014972621,0.034540095,1.438490786,0.037636432,0.982009283,0.0468247,0,0,0.002579979,0,0,0.015179242,0.021886052,0.023584367,0.086076661,0.104100829,0.032585834,0,0.019828257,0,0.005397564,0.00159881,0.039015806,0,0.010837318,0.11183387
Francisella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031366399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haemophilus,0,0.032464019,0,0,0.108129579,0,0,0,0,0,0,0,0.005541625,0,0,0,0,0.1028975,0,0,0,0,0,0,0.021154507,0.004325634,0,0.01456346,0,0.011431315,0.093881383,0,0.001834156,0,0,0.00301741,0,0.013610535,0.009688984,0.002281646,0.002468618,0,0,0,0,0.002995537,0,0,0,0,0,0,0,0,0.005599104,0,0,0,0,0,0,0,0,0,0,0.015993603,0,0.002673725,0,0,0,0,0,0,0,0,0,0,0.004161292,0.00325648,0,0,0,0.007185973,0,0,0,0.001422374,0,0,0,0,0.003672656,0,0.004983448,0,0,0,0,0,0,0.00729714,0,0,0,0,0.000899301,0,0.005471357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029066599,0.00352669,0.047361595,0,0,0,0,0,0,0.006152061,0,0,0,0.008039447,0,0,0,0.000803258,0.001716576,0.00806495,0.006712954,0,0,0,0,0,0.002989403,0.001686582,0,0,0,0,0,0,0,0,0.002024087,0,0,0.000698256,0.001354665,0.027701968
Legionella,0,0,0.010533634,0,0,0.034507549,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004244122,0.025197572,0.014870718,0,0,0.013221567,0,0.003422372,0,0.008216083,0.002286263,0.008163599,0.008966519,0.009170778,0.008206004,0,0.009052231,0,0,0,0,0,0.005364159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Listeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002679816,0,0.001537208,0.00712982,0,0.002574864,0.009857161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moraxella,0,0.078454713,0.008426907,0.024987506,0.037514344,0.092020129,0.003588088,0.095964904,0.015573552,0.024779463,0.005702067,0.027260749,0.001385406,0.023769038,0.191570881,0.002611307,0.112285,0.332078296,0.115652452,0.006366183,0,0.039035634,0.070671378,0.001353656,0.433667398,0.077861407,0.005133558,0.047331246,0.012324124,0.006858789,0.114290379,0,0.018341556,0.021335609,0.002019631,0.042243746,0.022858884,0.045935554,0.133707974,0.022816464,0.016046015,0.012069359,0.004721212,0.0032885,0,0.011982147,0.002604913,0.011415851,0.009032336,0.012167424,0.018354237,0.037359435,0.084561488,0.126161257,0.16237402,0.687110319,0.03511236,0.147928994,0.005259836,0.00272487,0.037990713,0,0.05174198,0.424929178,0.474286876,0.007996801,0.218692449,0.008021176,0.012075836,0.01409344,0.006191184,0,0.004512635,0,0,0,0.019079721,0.003099526,0.083225833,0.026051843,0.123862608,0.103032087,0.070422535,0.607214717,0.016135972,0.219466136,0.007093959,0.021335609,0.025771535,0.030582239,0.013154109,0.050474374,0.030299413,0.014378024,0.045562952,0.062706896,0.051951051,0.042207944,0.156302805,0.009230201,0.017692226,0.014594279,0.003858025,0.240107568,0.071968334,0.046522447,0.021583219,0.026474037,0.027356787,0.014979777,0.027834109,0.003764635,0,0.011118111,0.020442373,0,0,0,0,0,0.000790801,0,0.056537102,0.098099771,0.048668322,0.09107999,0.001772845,0,0,0.080422337,0.024059282,0.057752185,0.098432982,0.069927276,0.056352094,0.031574574,0.064315575,0.01551481,0.029206954,0.063455396,0.094784446,0.132176361,0.093194975,0.097817331,0.048775729,0.023107267,0,0.00128999,0.002965599,0.017936415,0.041321269,0.042021221,0.013694149,0.028984998,0.043375345,0.027401724,0.016833802,0.05948477,0.006150913,0.013493911,0.003197621,0.063089388,0.003491279,0.052154594,0.171341801
Mycobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001828388,0.009122423,0,0,0,0.004921381,0,0,0,0,0,0,0,0,0,0,0,0,0.003586608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000855498,0,0.001691532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002116014,0.005829119,0,0,0,0.001592522,0.000962371,0,0,0,0,0,0,0.007052186,0,0.001425964,0.000803258,0.000858288,0,0,0.005853088,0.001650519,0,0.007739938,0,0,0,0,0,0,0,0,0,0,0.001537728,0,0,0,0,0,0
