Order,DS1_L_1,DS1_L_2,DS1_L_3,DS1_L_4,DS1_L_5,DS1_L_6,DS1_R_1,DS1_R_2,DS1_R_3,DS1_R_4,DS1_R_5,DS1_R_6,DS2_L_1,DS2_L_2,DS2_L_3,DS2_L_4,DS2_L_5,DS2_L_6,DS2_R_1,DS2_R_2,DS2_R_3,DS2_R_4,DS2_R_5,DS2_R_6,DS3_L_1,DS3_L_2,DS3_L_3,DS3_L_4,DS3_L_5,DS3_L_6,DS3_R_1,DS3_R_2,DS3_R_3,DS3_R_4,DS3_R_5,DS3_R_6
Rhizobiales,0.922129609,1.978094285,0.466951571,3.509704035,1.184796438,0.067115118,15.89587867,12.73094345,13.6605148,13.69664742,15.09941878,16.48935317,0.364231823,2.283119082,0.126701149,5.924838346,0.088900413,1.381254405,13.3495188,20.59846017,16.64199379,19.62531646,18.70795549,20.67190284,12.75722987,0.204493288,0.113825534,0.175694952,9.852015024,6.423721621,10.45851069,10.66771124,9.980351082,14.61172527,16.75309684,14.59340734
Rhodobacterales,0.00150184,0,0,0.076569678,0,0,0.004871553,0,0.013142331,0.006292969,0.007647599,0.009627882,0.087231991,0.100069279,0.080492495,0.001483063,0.090752505,0.001409443,0.326620439,0.178373164,1.093198419,0.033755274,0.059311055,0.655072272,0.119354662,0.082075537,0.076832235,0.165257628,0.087548363,0.127307447,1.959959215,3.296936461,3.251002744,1.64553319,4.18655135,10.84247088
Rhodocyclales,0.024029436,0.009595745,0.010922844,0.059380567,0.012722646,0.007626718,0.017862362,0.030537977,0.018774759,0.018878908,0.018354237,0.014441824,0.071928133,1.613424679,1.986972141,0.081568488,0.007408368,0.272022551,0.195622937,0.358566462,0.732052513,0.054008439,0.071797593,0.090753086,0.008231356,0.005564443,2.253745571,0.099154577,0.258408879,2.31805644,1.713952773,3.16636472,1.528068722,1.841913694,1.038884965,1.096506164
Rhodospirillales,0.00150184,0.001370821,0.002730711,0.001562646,0.006361323,0.001525344,4.895911143,4.137895933,4.032818279,3.703412363,5.28449067,4.167268409,0.306077162,0.822107613,0.427802704,0.557631844,0.042598115,0.235377026,9.239690497,9.674013942,8.581282231,11.15949367,10.70876711,10.88377005,0.307303957,0.004173332,3.993853421,11.6532721,0.136970827,7.053186223,8.399825206,14.89007492,8.085286046,8.959014034,5.487311131,5.077300279
Rickettsiales,0,0.903370848,0.001365355,0.05781792,0.001590331,0.003050687,0.11529343,0.161172658,0.118280983,0.578953165,0.107066381,0.789486352,0,0,0,0.05190722,0.001852092,0,0.417445374,0.540579895,0.268419255,0.119831224,0.156081724,0.272259257,0,0,0,0,0,0,0.05664622,0.044067963,0.061707345,0.096497317,0.342849267,0.081727167
Rubrobacterales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05664622,0.009792881,0.009743265,0.003385871,0.015505746,0.006810597
S0134_terrestrial_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00488035,0,0,0,0,0.001391111,0,0,0,0,0.008092317,0.011425027,0.01299102,0.038937514,0.063745844,0.039160934
SAR11_clade,0,0,0,0,0,0,0,0,0,0,0,0,0.021425401,0.016934801,0.026830832,0,0.014816736,0,0,0,0,0,0,0,0,0.019475551,0,0,0.021181056,0.031826862,0,0,0,0,0,0
SC-I-84,0.00150184,0,0,0.001562646,0.003180662,0.001525344,0.001623851,0.001696554,0.067589133,0,0,0.187743706,0.006121543,0.003079055,0.004471805,0,0.005556276,0,0.008733167,0.005460403,0.016267834,0,0.001560817,0.004950168,0,14.8612367,0,0,0.007060352,0.007072636,0.192597148,0.016321468,0.056835712,0.077875028,0.528918216,0.071511272
Selenomonadales,0,0,0,0,0,0,0,0,0,0,0,0,0.015303858,0.132399353,0.031302637,0.007415317,0.016668827,0.002818887,0.012226434,0.020021478,0.011387484,0,0.006243269,0.014850505,0.013718927,0.020866662,0.008536915,0.019135094,0.016944845,0.024754226,0.032369269,0.029378642,0.003247755,0.005078806,0.015505746,0.010215896
SHBZ1548,0,0,0,0,0,0,0,0,0,0.003146485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006473854,0.00489644,0.001623877,0.001692935,0.022397188,0.003405299
Solirubrobacterales,0.00300368,4.571687069,0,0,0.001590331,0,0.009743107,0.040717303,0.00938738,0.066076176,0.068828388,0.006418588,0,0,0,0,0,0,0.033186034,0.118308731,0.102487352,0.054008439,0.053067786,0.107253647,0,0,0.044107394,0,0,0,0.076067781,0.035907229,0.01948653,0.067717415,0.179177506,0.032350337
Sphingobacteriales,0.00150184,1.443474208,3.290506683,3.85973685,0.004770992,0.003050687,6.948458965,6.541913374,6.640632334,6.865629376,8.101866014,4.857266644,0.010712701,0.230929105,0.095398512,0.068220917,0.020373011,0.009866103,7.264248162,4.257294188,4.722552098,6.870886076,6.989339618,6.121708138,1.436371618,0.499408778,0.941906293,0.069582159,0.00141207,0.005304477,5.782769838,8.082390769,5.769636739,11.52381114,11.16585979,9.192603691
